"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2025","6,929.94","6,865.21","6,945.77","6,855.74","","1.40%"
"12/14/2025","6,834.50","6,860.19","6,861.59","6,720.43","","0.10%"
"12/07/2025","6,827.41","6,875.20","6,903.46","6,801.79","","-0.63%"
"11/30/2025","6,870.40","6,812.30","6,895.78","6,799.94","","0.31%"
"11/23/2025","6,849.09","6,636.54","6,850.86","6,630.70","","3.73%"
"11/16/2025","6,602.99","6,713.61","6,770.35","6,521.92","","-1.95%"
"11/09/2025","6,734.11","6,785.36","6,869.91","6,646.87","","0.08%"
"11/02/2025","6,728.80","6,882.32","6,882.32","6,631.44","","-1.63%"
"10/26/2025","6,840.20","6,845.46","6,920.34","6,814.26","","0.71%"
"10/19/2025","6,791.69","6,690.05","6,807.11","6,655.69","","1.92%"
"10/12/2025","6,664.01","6,622.53","6,724.12","6,555.07","","1.70%"
"10/05/2025","6,552.51","6,733.86","6,764.58","6,550.78","","-2.43%"
"09/28/2025","6,715.79","6,661.58","6,750.87","6,641.00","","1.09%"
"09/21/2025","6,643.70","6,654.28","6,699.52","6,569.22","","-0.31%"
"09/14/2025","6,664.36","6,603.49","6,671.82","6,551.15","","1.22%"
"09/07/2025","6,584.29","6,498.09","6,600.21","6,483.08","","1.59%"
"08/31/2025","6,481.50","6,401.51","6,532.65","6,360.58","","0.33%"
"08/24/2025","6,460.26","6,457.67","6,508.23","6,429.21","","-0.10%"
"08/17/2025","6,466.91","6,445.02","6,478.89","6,343.86","","0.27%"
"08/10/2025","6,449.80","6,389.67","6,481.34","6,364.06","","0.94%"
"08/03/2025","6,389.45","6,271.71","6,395.16","6,271.71","","2.43%"
"07/27/2025","6,238.01","6,397.69","6,427.02","6,212.69","","-2.36%"
"07/20/2025","6,388.64","6,304.74","6,395.82","6,281.71","","1.46%"
"07/13/2025","6,296.79","6,255.15","6,315.61","6,201.59","","0.59%"
"07/06/2025","6,259.75","6,259.04","6,290.22","6,201.00","","-0.31%"
"06/29/2025","6,279.35","6,193.36","6,284.65","6,174.97","","1.72%"
"06/22/2025","6,173.07","5,969.67","6,187.68","5,943.23","","3.44%"
"06/15/2025","5,967.84","6,004.00","6,050.83","5,952.56","","-0.15%"
"06/08/2025","5,976.97","6,004.63","6,059.40","5,963.21","","-0.39%"
"06/01/2025","6,000.36","5,896.68","6,016.87","5,861.43","","1.50%"
"05/25/2025","5,911.69","5,854.07","5,943.13","5,843.66","","1.88%"
"05/18/2025","5,802.82","5,902.88","5,968.61","5,767.41","","-2.61%"
"05/11/2025","5,958.38","5,807.20","5,958.62","5,786.08","","5.27%"
"05/04/2025","5,659.91","5,655.32","5,720.10","5,578.64","","-0.47%"
"04/27/2025","5,686.67","5,529.22","5,700.70","5,433.24","","2.92%"
"04/20/2025","5,525.21","5,232.94","5,528.11","5,101.63","","4.59%"
"04/13/2025","5,282.70","5,441.96","5,459.46","5,220.79","","-1.50%"
"04/06/2025","5,363.36","4,953.79","5,481.34","4,835.04","","5.70%"
"03/30/2025","5,074.08","5,527.91","5,695.31","5,069.90","","-9.08%"
"03/23/2025","5,580.94","5,718.08","5,786.95","5,572.42","","-1.53%"
"03/16/2025","5,667.56","5,635.60","5,715.33","5,597.76","","0.51%"
